"party_label","party_votes","prefs","pref_ratio","cand_label","cand_num","protocol"
"ГЕРБ-СДС ","101","84","0.832","Александър Иванов Мацурев ","105","https://results.cik.bg/ns2023/protokoli/64/01/010100001.1.html"
"ГЕРБ-СДС ","114","89","0.781","Александър Иванов Мацурев ","105","https://results.cik.bg/ns2023/protokoli/64/01/010100004.1.html"
"БСП ЗА БЪЛГАРИЯ ","39","28","0.718","Костадин Михайлов Юнчов ","117","https://results.cik.bg/ns2023/protokoli/64/01/010100006.1.html"
"БСП ЗА БЪЛГАРИЯ ","50","37","0.74","Костадин Михайлов Юнчов ","117","https://results.cik.bg/ns2023/protokoli/64/01/010100007.1.html"
"ГЕРБ-СДС ","105","75","0.714","Александър Иванов Мацурев ","105","https://results.cik.bg/ns2023/protokoli/64/01/010100007.1.html"
"КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ ","192","158","0.823","Иван Николов Сакарев ","115","https://results.cik.bg/ns2023/protokoli/64/01/010100014.1.html"
"КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ ","107","86","0.804","Иван Николов Сакарев ","115","https://results.cik.bg/ns2023/protokoli/64/01/010100015.1.html"
"КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ ","87","66","0.759","Иван Николов Сакарев ","115","https://results.cik.bg/ns2023/protokoli/64/01/010100016.1.html"
"ГЕРБ-СДС ","62","54","0.871","Александър Иванов Мацурев ","105","https://results.cik.bg/ns2023/protokoli/64/01/010100022.1.html"
"ГЕРБ-СДС ","95","72","0.758","Александър Иванов Мацурев ","105","https://results.cik.bg/ns2023/protokoli/64/01/010100023.1.html"
"Движение за права и свободи – ДПС ","75","61","0.813","Луиза Ицкова Александрова ","109","https://results.cik.bg/ns2023/protokoli/64/01/010300009.1.html"
"ПП БЪЛГАРСКИ ВЪЗХОД ","31","28","0.903","Марио Рашков Асьов ","110","https://results.cik.bg/ns2023/protokoli/64/01/010300120.1.html"
"БСП ЗА БЪЛГАРИЯ ","130","109","0.838","Богдан Емилов Боцев ","102","https://results.cik.bg/ns2023/protokoli/64/01/011100001.1.html"
"БСП ЗА БЪЛГАРИЯ ","71","68","0.958","Богдан Емилов Боцев ","102","https://results.cik.bg/ns2023/protokoli/64/01/011100002.1.html"
"ГЕРБ-СДС ","138","111","0.804","Димитър Добрев Попов ","107","https://results.cik.bg/ns2023/protokoli/64/01/011100002.1.html"
"БСП ЗА БЪЛГАРИЯ ","105","82","0.781","Богдан Емилов Боцев ","102","https://results.cik.bg/ns2023/protokoli/64/01/011100006.1.html"
"БСП ЗА БЪЛГАРИЯ ","86","71","0.826","Богдан Емилов Боцев ","102","https://results.cik.bg/ns2023/protokoli/64/01/011100008.1.html"
"БСП ЗА БЪЛГАРИЯ ","67","48","0.716","Богдан Емилов Боцев ","102","https://results.cik.bg/ns2023/protokoli/64/01/011100011.1.html"
"БСП ЗА БЪЛГАРИЯ ","66","49","0.742","Богдан Емилов Боцев ","102","https://results.cik.bg/ns2023/protokoli/64/01/011100014.1.html"
"БСП ЗА БЪЛГАРИЯ ","64","49","0.766","Богдан Емилов Боцев ","102","https://results.cik.bg/ns2023/protokoli/64/01/011100016.1.html"
